"date","Avg Air Temp (˚F)","Max Air Temp (˚F)","Min Air Temp (˚F)","Total Precipitation","Leaf Wethess (hrs)","Relative Humidity (hrs >= 90)","Solar Radiation (langleys)","Avg Wind Speed (mph)","Avg Soil Temp (˚F)","Avg Soil Moisture (m3/m3)"
"03/01/2020","25.9","33.6","18.1","0","1","0","375","4","N/A","N/A"
"03/02/2020","38.6","54.3","23","0","4","0","275","5.1","N/A","N/A"
"03/03/2020","55.6","64.9","46.2","0.06","13","7","288","4.2","N/A","N/A"
"03/04/2020","44.5","50.2","38.7","0.01","1","0","289","8.5","N/A","N/A"
"03/05/2020","40.8","52","29.5","0","1","0","377","3.8","N/A","N/A"
"03/06/2020","36.6","45.3","28","0","16","0","238","7.9","N/A","N/A"
"03/07/2020","36.2","43.7","28.6","0","0","0","376","8","N/A","N/A"
"03/08/2020","40.7","54.3","27.1","0","0","0","329","4.2","N/A","N/A"
"03/09/2020","57.8","73","42.6","0","0","0","402","5.7","N/A","N/A"
"03/10/2020","57.0","68.9","45.1","0","9","0","271","6.2","N/A","N/A"
"03/11/2020","44.9","53.8","36","0","6","0","336","3.8","N/A","N/A"
"03/12/2020","37.9","44.2","31.5","0.01","9","0","207","4.4","N/A","N/A"
"03/13/2020","50.7","61.5","39.9","0.39","15","13","77","5.1","N/A","N/A"
"03/14/2020","45.5","53.4","37.6","0","0","0","392","7.1","N/A","N/A"
"03/15/2020","38.3","47.7","28.9","0","0","0","433","5.3","N/A","N/A"
"03/16/2020","29.6","34.5","24.8","0","0","0","409","5.5","N/A","N/A"
"03/17/2020","38.2","44.8","31.6","0.02","18","14","98","2.3","N/A","N/A"
"03/18/2020","43.2","54.1","32.2","0","6","0","436","3.1","N/A","N/A"
"03/19/2020","40.5","42.3","38.8","0.68","22","20","88","5.8","N/A","N/A"
"03/20/2020","53.8","68.9","38.7","0.05","18","11","165","5.8","N/A","N/A"
"03/21/2020","39.9","49.8","30","0","0","0","428","6.7","N/A","N/A"
"03/22/2020","30.7","35.2","26.2","0","0","0","452","4.7","N/A","N/A"
"03/23/2020","33.8","40.3","27.3","1.76","12","11","131","5.3","N/A","N/A"
"03/24/2020","42.0","49.8","34.2","0.19","8","7","263","5.3","N/A","N/A"
"03/25/2020","39.5","42.6","36.3","0","2","0","166","7.4","N/A","N/A"
"03/26/2020","40.3","47.5","33.1","0","9","2","461","5.1","N/A","N/A"
"03/27/2020","51.4","61.3","41.5","0","5","0","463","5","N/A","N/A"
"03/28/2020","42.9","53.2","32.5","0.15","8","5","296","2.2","N/A","N/A"
"03/29/2020","41.8","44.4","39.2","0.75","24","24","41","6.5","N/A","N/A"
"03/30/2020","39.5","42.4","36.5","0.15","24","23","119","7.2","N/A","N/A"
"03/31/2020","35.4","41","29.8","0.01","17","8","454","5.1","N/A","N/A"
"04/01/2020","37.0","44.4","29.5","0","8","3","272","5.8","N/A","N/A"
"04/02/2020","43.0","47.3","38.8","0.34","22","8","172","8","N/A","N/A"
"04/03/2020","42.4","44.2","40.5","1.45","24","24","64","12.3","N/A","N/A"
"04/04/2020","42.3","45.5","39","0.03","21","12","349","6.2","N/A","N/A"
"04/05/2020","49.5","59.5","39.6","0","17","1","302","3.2","N/A","N/A"
"04/06/2020","52.7","62.4","43","0","7","2","525","3.8","N/A","N/A"
"04/07/2020","53.2","62.2","44.1","0","0","0","504","3.4","N/A","N/A"
"04/08/2020","47.1","51.4","42.8","0.05","18","2","258","3.1","N/A","N/A"
"04/09/2020","44.4","48.2","40.5","0.74","19","13","80","5.8","N/A","N/A"
"04/10/2020","42.7","47.5","37.9","0.02","9","0","333","8.1","N/A","N/A"
"04/11/2020","43.1","50.2","36","0","1","0","490","6.4","N/A","N/A"
"04/12/2020","46.4","62.1","30.6","0","6","0","448","4.2","N/A","N/A"
"04/13/2020","56.2","61.2","51.1","1.28","24","17","61","8","N/A","N/A"
"04/14/2020","52.1","58.5","45.7","0","0","0","475","4.7","N/A","N/A"
"04/15/2020","42.9","53.8","32","0","4","0","367","4","N/A","N/A"
"04/16/2020","40.4","46.2","34.5","0","0","0","391","5.3","N/A","N/A"
"04/17/2020","40.6","49.6","31.6","0.1","2","1","509","6.4","N/A","N/A"
"04/18/2020","35.8","39.4","32.2","0.6","24","21","96","3.4","N/A","N/A"
"04/19/2020","46.8","62.6","30.9","0","6","4","550","6.5","N/A","N/A"
"04/20/2020","40.6","49.6","31.6","0","8","0","304","3.4","N/A","N/A"
"04/21/2020","41.8","52.9","30.6","0.46","18","6","321","5.3","N/A","N/A"
"04/22/2020","39.2","45.3","33.1","0","0","0","399","8.7","N/A","N/A"
"04/23/2020","43.0","55.9","30.2","0","1","0","558","5.4","N/A","N/A"
"04/24/2020","39.7","44.6","34.7","0.26","24","10","117","3.7","N/A","N/A"
"04/25/2020","46.0","58.1","33.8","0","5","4","523","3.8","N/A","N/A"
"04/26/2020","44.9","49.1","40.6","0.32","14","7","148","8.5","N/A","N/A"
"04/27/2020","39.0","41.2","36.9","0.73","24","23","101","10.6","N/A","N/A"
"04/28/2020","43.1","48.4","37.9","0","8","1","466","4.3","N/A","N/A"
"04/29/2020","44.5","52.9","36.1","0","5","4","545","5","N/A","N/A"
"04/30/2020","49.5","54.5","44.6","0.01","11","3","138","4.4","N/A","N/A"
"05/01/2020","58.7","65.1","52.3","1.18","21","18","174","3.1","N/A","N/A"
"05/02/2020","58.1","70","46.2","0","2","0","595","5.4","N/A","N/A"
"05/03/2020","67.9","79.7","56.1","0","2","0","532","4.1","N/A","N/A"
"05/04/2020","57.8","69.3","46.2","0","5","0","425","5.7","N/A","N/A"
"05/05/2020","48.8","58.5","39","0","1","0","605","6","N/A","N/A"
"05/06/2020","43.8","53.1","34.5","0","9","2","498","3.7","N/A","N/A"
"05/07/2020","50.9","63","38.8","0.01","7","5","490","3.5","N/A","N/A"
"05/08/2020","49.5","57.9","41.2","0.38","11","8","391","5.1","N/A","N/A"
"05/09/2020","40.1","45.3","34.9","0.13","8","5","439","8.5","N/A","N/A"
"05/10/2020","47.4","61.2","33.6","0","3","0","505","5.5","N/A","N/A"
"05/11/2020","54.0","64.8","43.3","0.24","16","5","356","3.5","N/A","N/A"
"05/12/2020","47.8","55.4","40.1","0","4","0","468","6.7","N/A","N/A"
"05/13/2020","47.7","59.7","35.6","0","0","0","675","5","N/A","N/A"
"05/14/2020","55.0","71.1","39","0","2","0","668","4.5","N/A","N/A"
"05/15/2020","65.6","79.2","52","0.84","13","11","503","3.5","N/A","N/A"
"05/16/2020","57.1","68.4","45.7","0.01","10","7","545","4.6","N/A","N/A"
"05/17/2020","59.0","68.7","49.3","0","5","0","382","3.1","N/A","N/A"
"05/18/2020","53.1","59","47.3","0","9","2","297","3.2","N/A","N/A"
"05/19/2020","48.8","55","42.6","0","8","2","663","5.6","N/A","N/A"
"05/20/2020","50.5","60.6","40.5","0","6","4","684","3.4","N/A","N/A"
"05/21/2020","59.5","79","40.1","0","6","0","681","4.3","N/A","N/A"
"05/22/2020","68.5","83.8","53.2","0","6","0","656","5.8","N/A","N/A"
"05/23/2020","58.0","69.8","46.2","0","14","2","384","8.1","N/A","N/A"
"05/24/2020","49.9","55.6","44.1","0","13","1","673","5.4","N/A","N/A"
"05/25/2020","55.7","63.1","48.2","0","24","18","322","3.2","N/A","N/A"
"05/26/2020","64.4","76.6","52.3","0","24","8","628","3.2","N/A","N/A"
"05/27/2020","74.0","86","62.1","0","17","7","639","4.6","N/A","N/A"
"05/28/2020","71.3","77.7","64.8","0","22","9","325","5.6","N/A","N/A"
"05/29/2020","74.0","79.7","68.2","0.01","21","7","327","6.7","N/A","N/A"
"05/30/2020","71.2","80.4","61.9","0.09","9","6","611","4.2","N/A","N/A"
"05/31/2020","54.1","66.6","41.7","0","1","0","678","4.7","N/A","N/A"
"06/01/2020","53.4","64.4","42.3","0","7","0","636","2.6","N/A","N/A"
"06/02/2020","56.9","72.1","41.7","0.01","11","1","600","2.5","N/A","N/A"
"06/03/2020","68.0","81.1","55","0.04","13","4","448","1.9","N/A","N/A"
"06/04/2020","73.0","88.5","57.6","0","10","4","607","2.7","N/A","N/A"
"06/05/2020","73.0","79.9","66","0.07","19","7","343","4.2","N/A","N/A"
"06/06/2020","73.4","89.6","57.2","0.91","20","15","440","2.5","N/A","N/A"
"06/07/2020","59.5","68.4","50.5","0","13","9","275","0.6","N/A","N/A"
"06/08/2020","63.3","77.9","48.7","0","8","3","681","0.7","N/A","N/A"
"06/09/2020","67.1","78.4","55.8","0","6","0","393","1.2","N/A","N/A"
"06/10/2020","63.8","68.4","59.2","0","9","8","597","2.2","N/A","N/A"
"06/11/2020","70.5","75","66","0.72","24","17","200","2.7","N/A","N/A"
"06/12/2020","73.4","84.4","62.4","0","6","5","609","0.8","N/A","N/A"
"06/13/2020","61.6","69.8","53.4","0","0","0","613","0.5","N/A","N/A"
"06/14/2020","59.6","67.3","52","0","7","4","681","1.4","N/A","N/A"
"06/15/2020","57.5","66","49.1","0","11","4","632","2.6","N/A","N/A"
"06/16/2020","60.4","73.2","47.5","0","10","7","697","3.1","N/A","N/A"
"06/17/2020","63.6","79.3","48","0","8","3","689","2.7","N/A","N/A"
"06/18/2020","73.2","87.6","58.8","0","12","6","631","0.9","N/A","N/A"
"06/19/2020","77.1","86.9","67.3","0","10","4","643","0.7","N/A","N/A"
"06/20/2020","79.3","91.6","66.9","0","9","0","651","0.3","N/A","N/A"
"06/21/2020","80.5","93.4","67.5","0.01","15","3","465","0.4","N/A","N/A"
"06/22/2020","69.7","75.4","63.9","0","17","13","522","0.5","N/A","N/A"
"06/23/2020","77.8","89.6","66","0","14","9","628","0.8","N/A","N/A"
"06/24/2020","74.3","85.6","63","0.11","21","13","373","0.3","N/A","N/A"
"06/25/2020","72.8","85.5","60.1","0.01","5","4","636","0.6","N/A","N/A"
"06/26/2020","75.0","86.4","63.5","0","6","0","575","0.5","N/A","N/A"
"06/27/2020","73.6","84.9","62.2","0.04","17","6","323","0.2","N/A","N/A"
"06/28/2020","74.4","86.4","62.4","0.84","19","16","391","0.3","N/A","N/A"
"06/29/2020","68.5","73.9","63.1","0.23","24","21","161","0.1","N/A","N/A"
"06/30/2020","65.0","68.2","61.9","0.09","24","24","146","0.3","N/A","N/A"
"07/01/2020","68.7","75","62.4","0.2","21","14","333","0.3","N/A","N/A"
"07/02/2020","78.2","93.2","63.1","0","10","6","628","0.5","N/A","N/A"
"07/03/2020","69.0","76.6","61.5","0","19","9","198","0.2","N/A","N/A"
"07/04/2020","70.8","80.2","61.5","0","16","13","532","0.1","N/A","N/A"
"07/05/2020","76.6","89.2","64","0.35","18","11","452","0.2","N/A","N/A"
"07/06/2020","67.7","74.5","60.8","0","17","15","480","0.5","N/A","N/A"
"07/07/2020","73.7","85.1","62.2","0","13","8","557","0.7","N/A","N/A"
"07/08/2020","78.1","89.4","66.7","0","16","9","409","0.5","N/A","N/A"
"07/09/2020","82.6","93.9","71.2","0","15","6","510","0.3","N/A","N/A"
"07/10/2020","77.7","85.6","69.8","0.07","20","16","440","0.8","N/A","N/A"
"07/11/2020","82.0","91.4","72.5","0.01","19","6","565","1.3","N/A","N/A"
"07/12/2020","81.2","90.9","71.4","0","11","4","540","0.9","N/A","N/A"
"07/13/2020","78.3","90.7","66","0.18","22","7","372","0.2","N/A","N/A"
"07/14/2020","72.7","80.2","65.1","0.01","17","7","468","0.2","N/A","N/A"
"07/15/2020","66.4","76.3","56.5","0.02","18","12","476","0.3","N/A","N/A"
"07/16/2020","64.4","74.5","54.3","0","11","4","611","0.3","N/A","N/A"
"07/17/2020","65.7","72.9","58.5","0.42","18","17","178","3.7","N/A","N/A"
"07/18/2020","79.0","91.4","66.6","0","5","5","588","4.4","N/A","N/A"
"07/19/2020","82.7","94.8","70.6","0","2","2","582","7.1","N/A","N/A"
"07/20/2020","83.2","92.7","73.6","0","0","0","539","4.5","N/A","N/A"
"07/21/2020","81.5","94.5","68.4","0","1","0","552","0.1","N/A","N/A"
"07/22/2020","75.8","84","67.5","0.24","13","9","358","0.2","N/A","N/A"
"07/23/2020","78.9","90.5","67.3","0.16","21","17","346","0.4","N/A","N/A"
"07/24/2020","74.9","84.7","65.1","0","14","8","491","0","N/A","N/A"
"07/25/2020","81.3","98.8","63.7","0","11","5","566","0.1","N/A","N/A"
"07/26/2020","82.8","94.1","71.4","0","6","1","551","0.5","N/A","N/A"
"07/27/2020","86.2","100","72.3","0","2","0","593","0.2","N/A","N/A"
"07/28/2020","86.4","98.8","74.1","0","2","0","508","0.2","N/A","N/A"
"07/29/2020","80.3","95.2","65.5","0","4","0","511","0.8","N/A","N/A"
"07/30/2020","82.0","91.8","72.3","0","7","0","398","0.4","N/A","N/A"
"07/31/2020","76.8","88.9","64.6","0","12","3","543","0.5","N/A","N/A"
"08/01/2020","76.9","89.6","64.2","0","10","6","590","0.4","N/A","N/A"
"08/02/2020","80.8","92.1","69.6","0.02","18","8","365","0.4","N/A","N/A"
"08/03/2020","84.3","94.8","73.8","0","7","4","535","1","N/A","N/A"
"08/04/2020","78.4","85.8","71.1","0.17","18","2","231","2.6","N/A","N/A"
"08/05/2020","80.6","98.1","63.1","0","13","4","552","0.3","N/A","N/A"
"08/06/2020","74.9","90.3","59.5","0","9","2","506","0.7","N/A","N/A"
"08/07/2020","72.0","82.2","61.7","0","12","1","373","0.2","N/A","N/A"
"08/08/2020","75.8","87.4","64.2","0","12","5","515","1.3","N/A","N/A"
"08/09/2020","81.4","95.9","66.9","0","15","4","471","0.2","N/A","N/A"
"08/10/2020","83.5","97.3","69.8","0","9","3","511","0.9","N/A","N/A"
"08/11/2020","85.8","99","72.7","0","13","2","508","2","N/A","N/A"
"08/12/2020","85.7","98.4","73","0","11","2","493","0.4","N/A","N/A"
"08/13/2020","78.6","91.4","65.8","0","6","1","483","1.6","N/A","N/A"
"08/14/2020","75.7","87.4","64","0","12","4","496","0.8","N/A","N/A"
"08/15/2020","67.3","70.3","64.4","0","24","2","127","4.3","N/A","N/A"
"08/16/2020","66.8","71.4","62.2","0.27","24","9","145","3.6","N/A","N/A"
"08/17/2020","68.8","76.3","61.3","0.04","20","11","387","2.2","N/A","N/A"
"08/18/2020","74.6","89.8","59.4","0.11","12","6","490","1.6","N/A","N/A"
"08/19/2020","69.8","84.6","55","0.07","14","11","333","0.8","N/A","N/A"
"08/20/2020","68.8","84.6","53.1","0","9","6","560","1.9","N/A","N/A"
"08/21/2020","76.3","93.9","58.8","0","10","4","523","4.2","N/A","N/A"
"08/22/2020","78.3","92.1","64.4","0.21","17","11","423","1.1","N/A","N/A"
"08/23/2020","79.5","95.9","63","0.79","18","15","444","1.3","N/A","N/A"
"08/24/2020","81.0","97.2","64.8","0","16","11","465","0.2","N/A","N/A"
"08/25/2020","77.3","88.7","65.8","0","7","5","420","2.3","72.8","0.2"
"08/26/2020","67.4","76.3","58.5","0","0","0","524","1.5","68.9","0.2"
"08/27/2020","63.3","69.3","57.2","0.27","15","13","120","0.9","67.4","0.2"
"08/28/2020","71.5","81.7","61.2","0","13","10","407","1.2","68.5","0.2"
"08/29/2020","70.0","77.5","62.6","0.05","24","17","147","0.4","69.4","0.2"
"08/30/2020","64.3","75.9","52.7","0","9","0","487","2.7","68.1","0.2"
"08/31/2020","63.5","76.6","50.4","0","11","5","425","0.2","66.3","0.2"
"09/01/2020","66.8","78.1","55.4","0","11","6","339","2","66.7","0.2"
"09/02/2020","66.3","71.4","61.3","0.28","24","19","93","1","67","0.2"
"09/03/2020","72.2","76.8","67.5","0.1","24","19","161","0.7","69.1","0.2"
"09/04/2020","70.8","84.2","57.4","0","8","3","471","0.2","68.8","0.2"
"09/05/2020","65.3","77","53.6","0","7","0","477","0.3","66.2","0.2"
"09/06/2020","68.8","79.2","58.5","0","11","3","395","0.1","66.5","0.2"
"09/07/2020","71.5","82","61","0","14","8","441","0.8","66.9","0.1"
"09/08/2020","73.7","86.5","60.8","0","14","9","440","0.2","67.8","0.1"
"09/09/2020","72.8","83.1","62.6","0","13","9","342","1.5","68.6","0.1"
"09/10/2020","77.4","84.6","70.2","0.57","23","20","207","1.9","70.6","0.2"
"09/11/2020","62.1","71.1","53.2","0","21","11","163","3.2","68.1","0.2"
"09/12/2020","57.6","66.9","48.2","0","12","6","430","3.3","64.5","0.2"
"09/13/2020","62.3","75.9","48.7","0","16","8","406","2.9","64.4","0.2"
"09/14/2020","63.8","75.9","51.6","0","7","5","391","4.6","65.4","0.1"
"09/15/2020","56.3","66.6","45.9","0","11","0","377","1.9","62.4","0.1"
"09/16/2020","62.0","74.3","49.8","0","14","4","385","5","62.5","0.1"
"09/17/2020","67.7","77.5","57.9","0","9","6","338","3.3","63.8","0.1"
"09/18/2020","57.5","65.3","49.6","0","0","0","257","3","63","0.1"
"09/19/2020","52.7","61.5","43.9","0","2","0","440","0.3","59.8","0.1"
"09/20/2020","50.0","58.5","41.4","0","6","0","379","0.6","58.1","0.1"
"09/21/2020","51.5","61.5","41.4","0","10","0","407","2.9","57","0.1"
"09/22/2020","53.3","65.7","40.8","0","4","0","266","4","56.8","0.1"
"09/23/2020","65.7","79.5","51.8","0","6","0","390","3.8","59.1","0.1"
"09/24/2020","66.5","78.1","55","0","10","4","300","2.1","60.5","0.1"
"09/25/2020","65.4","76.3","54.5","0","17","12","379","2.4","60.9","0.1"
"09/26/2020","68.9","79.7","58.1","0","16","10","347","2.7","62.3","0.1"
"09/27/2020","72.5","79.3","65.7","0","22","14","204","1.8","64.8","0.1"
"09/28/2020","72.8","79.7","66","0","21","14","268","3","66","0.1"
"09/29/2020","70.9","79.2","62.6","0","18","10","245","2.6","65.9","0.1"
"09/30/2020","64.5","73.4","55.6","0.98","12","7","255","5.8","66.4","0.3"
"10/01/2020","65.5","74.8","56.3","0","15","4","302","3","63.4","0.2"
"10/02/2020","54.3","62.8","45.7","0","20","14","128","1.3","62","0.2"
"10/03/2020","55.8","68.2","43.3","0","14","8","350","1.5","59.2","0.2"
"10/04/2020","53.9","66.6","41.2","0","13","5","366","1.6","58","0.2"
"10/05/2020","55.7","63","48.4","0","18","9","198","2.7","59","0.2"
"10/06/2020","58.5","70.5","46.4","0","17","13","327","5.9","58.3","0.2"
"10/07/2020","63.6","75.2","52","0.15","17","6","229","12.5","59.1","0.2"
"10/08/2020","49.8","61.9","37.6","0","2","0","367","10.4","56.7","0.2"
"10/09/2020","49.1","60.8","37.4","0","7","1","371","6.8","54.4","0.2"
"10/10/2020","65.8","77.2","54.5","0","14","0","316","14","57.5","0.2"
"10/11/2020","57.5","64.4","50.5","0","3","0","317","7.7","57.7","0.2"
"10/12/2020","52.3","54.1","50.5","0","12","0","110","10.1","56","0.2"
"10/13/2020","54.3","58.5","50","1.28","24","22","62","9.7","56.9","0.3"
"10/14/2020","58.1","69.8","46.4","0","16","10","339","6.6","56.5","0.3"
"10/15/2020","58.7","72.9","44.4","0","17","10","304","9.2","56.2","0.3"
"10/16/2020","59.3","70.3","48.2","1.03","24","22","69","7.2","58.1","0.3"
"10/17/2020","47.2","57.7","36.7","1.1","16","13","285","9","54.6","0.3"
"10/18/2020","47.0","60.6","33.3","0","15","11","307","4.1","52.9","0.3"
"10/19/2020","49.9","62.4","37.4","0","16","13","284","3.4","52.8","0.3"
"10/20/2020","57.5","68.2","46.9","0","20","17","153","3.6","54.8","0.3"
"10/21/2020","63.6","70.3","57","0.03","22","21","154","5.6","57.4","0.3"
"10/22/2020","62.1","69.4","54.7","0","19","17","259","5.2","58","0.3"
"10/23/2020","60.2","66.6","53.8","0","18","17","182","4.3","58.3","0.3"
"10/24/2020","56.0","67.8","44.1","0","11","6","143","7.5","58.2","0.3"
"10/25/2020","45.6","48.9","42.3","0","0","0","168","5.6","55.1","0.3"
"10/26/2020","50.7","53.4","48","0","18","12","56","4.7","54.8","0.3"
"10/27/2020","49.4","54.7","44.1","0","12","5","139","5.5","55","0.3"
"10/28/2020","46.8","50.2","43.3","0.29","24","23","49","3.6","54.1","0.3"
"10/29/2020","45.1","48.1","42.1","1.06","24","24","61","6.7","52.8","0.4"
"10/30/2020","31.6","39.2","23.9","0.11","24","24","48","8.7","49.5","0.3"
"10/31/2020","32.1","42.8","21.4","0.28","19","20","285","3.7","47.9","0.3"
"11/01/2020","40.0","48.6","31.5","0.65","21","15","104","5.4","47.3","0.3"
"11/02/2020","37.3","41.9","32.7","0","2","0","193","14.1","46.5","0.3"
"11/03/2020","36.4","42.6","30.2","0","2","0","194","8.8","45.1","0.3"
"11/04/2020","43.8","56.1","31.5","0","10","0","245","6.8","45.8","0.3"
"11/05/2020","60.3","70.3","50.2","0.01","17","6","245","12.4","49","0.3"
"11/06/2020","64.3","73.8","54.9","0","14","3","216","9.9","51.3","0.3"
"11/07/2020","63.1","77","49.3","0","9","0","233","5.7","51.6","0.3"
"11/08/2020","60.0","73.4","46.6","0","15","8","234","3.4","51.3","0.3"
"11/09/2020","58.7","75.2","42.1","0","16","5","240","2.8","50.6","0.3"
"11/10/2020","60.0","75.7","44.2","0","16","7","230","8.5","51.4","0.3"
"11/11/2020","66.3","73.9","58.8","0.03","23","12","123","11.2","54.6","0.3"
"11/12/2020","54.8","64.6","45.1","0.02","12","6","32","7.4","55.2","0.3"
"11/13/2020","43.7","48.7","38.7","0.29","24","21","28","6.7","51.9","0.3"
"11/14/2020","39.1","49.5","28.8","0","16","11","152","6.8","49.3","0.3"
"11/15/2020","42.1","58.1","26.1","0.53","14","10","159","8.4","47.4","0.3"
"11/16/2020","46.1","52.9","39.4","0","4","1","185","9","48.8","0.3"
"11/17/2020","40.6","48","33.3","0","3","0","158","8.6","46.7","0.3"
"11/18/2020","26.5","32.5","20.5","0","0","0","233","9.3","42.9","0.3"
"11/19/2020","32.1","46.2","18","0","8","0","183","10.5","41.8","0.3"
"11/20/2020","55.6","64.6","46.6","0","1","0","197","12.8","45.3","0.3"
"11/21/2020","50.9","62.1","39.6","0","5","0","182","7.3","46.5","0.3"
"11/22/2020","41.7","48","35.4","0","17","2","35","8.4","45.3","0.3"
"11/23/2020","46.6","59","34.3","1.79","14","12","18","10.3","47.8","0.3"
"11/24/2020","35.1","43.3","27","0","0","0","196","7.6","44.1","0.3"
"11/25/2020","39.9","51.8","28","0.01","8","3","91","2.8","43.7","0.3"
"11/26/2020","51.0","60.3","41.7","0.31","24","24","40","5.3","47.2","0.3"
"11/27/2020","48.3","55","41.5","0","21","18","70","3.4","47.9","0.3"
"11/28/2020","44.3","53.2","35.4","0.02","13","6","112","6.6","47.6","0.3"
