Date,Time,"Wetness (S-LWA 20759914:9895688-1), %","Solar Radiation (S-LIB 20759914:9903142-1), W/m^2","RH (S-THB 20759914:9909397-2), %","Dew Point (S-THB 20759914:9909397-3), *F","Pressure (S-BPB 20759914:10661037-1), inHg","Rain (S-RGF 20759914:20538794-1), in","Water Content (S-SMD 20759914:20538936-1), m^3/m^3","Battery (RX3000 BATTERY 20759914:20759914-B), V","Wind Speed (S-WCF 20759914:20941310-1), mph","Gust Speed (S-WCF 20759914:20941310-2), mph","Wind Direction (S-WCF 20759914:20941310-3), *","Temperature (S-THB 20759914:9909397-1), *F","Temperature (S-TMB 20759914:20160651-1), *F","Wind Speed (S-WCA 20759914:9907761-1), mph","Gust Speed (S-WCA 20759914:9907761-2), mph","Wind Direction (S-WCA 20759914:9907761-3), *","Temperature (S-THB 20759914:9909397-1), *F","Temperature (S-TMB 20759914:20160651-1), *F","Wetness (S-LWA 20759914:9895688-1), %","Solar Radiation (S-LIB 20759914:9903142-1), W/m^2","Wind Speed (S-WCA 20759914:9907761-1), mph","Gust Speed (S-WCA 20759914:9907761-2), mph","Wind Direction (S-WCA 20759914:9907761-3), *","Temperature (S-THB 20759914:9909397-1), *F","RH (S-THB 20759914:9909397-2), %","Dew Point (S-THB 20759914:9909397-3), *F","Pressure (S-BPB 20759914:10661037-1), inHg","Temperature (S-TMB 20759914:20160651-1), *F","Rain (S-RGF 20759914:20538794-1), in","Water Content (S-SMD 20759914:20538936-1), m^3/m^3","Battery (RX3000 BATTERY 20759914:20759914-B), V"
08/25/20,13:10:00,,,,,,,,,,,,,,,,,,,1.8,577,0.0,1.2,0,84.54,54.50,66.37,29.564,72.95,0.000,0.2139,4.299
08/25/20,13:15:00,,,,,,,,,,,,,,,,,,,1.8,423,0.4,2.9,0,84.54,55.40,66.85,29.567,72.95,0.000,0.2143,4.305
08/25/20,13:20:00,,,,,,,,,,,,,,,,,,,2.4,761,0.8,7.9,0,85.49,52.50,66.17,29.558,73.00,0.000,0.2161,4.313
08/25/20,13:25:00,,,,,,,,,,,,,,,,,,,1.8,733,1.2,6.6,0,85.89,53.00,66.82,29.561,73.04,0.000,0.2131,4.307
08/25/20,13:30:00,,,,,,,,,,,,,,,,,,,1.8,718,1.2,8.7,0,85.94,52.90,66.80,29.558,73.08,0.000,0.2153,4.313
08/25/20,13:35:00,,,,,,,,,,,,,,,,,,,2.4,714,0.4,4.2,0,86.48,53.50,67.63,29.555,73.08,0.000,0.2153,4.308
08/25/20,13:40:00,,,,,,,,,,,,,,,,,,,1.8,707,0.4,7.1,0,86.39,53.20,67.39,29.558,73.13,0.000,0.2139,4.305
08/25/20,13:45:00,,,,,,,,,,,,,,,,,,,1.8,699,0.4,7.1,0,86.26,51.50,66.32,29.558,73.13,0.000,0.2134,4.304
08/25/20,13:50:00,,,,,,,,,,,,,,,,,,,1.8,689,1.2,9.1,0,85.80,51.30,65.79,29.555,73.17,0.000,0.2134,4.308
08/25/20,13:55:00,,,,,,,,,,,,,,,,,,,1.8,686,0.8,5.0,0,87.25,50.30,66.55,29.552,73.21,0.000,0.2143,4.304
08/25/20,14:00:00,,,,,,,,,,,,,,,,,,,1.2,682,1.2,11.6,0,86.30,50.60,65.85,29.549,73.21,0.000,0.2131,4.302
08/25/20,14:05:00,,,,,,,,,,,,,,,,,,,1.2,686,1.2,10.4,0,86.85,50.10,66.06,29.546,73.26,0.000,0.2161,4.302
08/25/20,14:10:00,,,,,,,,,,,,,,,,,,,1.8,677,0.4,3.3,0,87.76,50.20,66.96,29.549,73.30,0.000,0.2134,4.301
08/25/20,14:15:00,,,,,,,,,,,,,,,,,,,1.2,686,0.8,5.0,0,87.71,49.50,66.51,29.549,73.30,0.000,0.2134,4.299
08/25/20,14:20:00,,,,,,,,,,,,,,,,,,,1.2,659,0.8,10.0,0,86.94,51.80,67.11,29.546,73.30,0.000,0.2134,4.310
08/25/20,14:25:00,,,,,,,,,,,,,,,,,,,1.2,667,0.4,4.2,0,87.85,50.80,67.39,29.543,73.34,0.000,0.2148,4.307
08/25/20,14:30:00,1.2,666,50.80,67.68,29.537,0.000,0.2153,4.313,,,,,,0.8,5.8,0,88.17,73.39,,,,,,,,,,,,,
08/25/20,14:35:00,1.2,659,51.30,66.75,29.534,0.000,0.2134,4.308,,,,,,2.5,10.4,0,86.85,73.39,,,,,,,,,,,,,
08/25/20,14:40:00,0.6,648,49.70,66.67,29.537,0.000,0.2143,4.304,,,,,,1.2,8.7,0,87.76,73.39,,,,,,,,,,,,,
08/25/20,14:45:00,0.6,641,49.20,65.96,29.534,0.000,0.2122,4.304,,,,,,2.5,12.9,0,87.30,73.43,,,,,,,,,,,,,
08/25/20,14:50:00,0.6,648,49.30,66.39,29.529,0.000,0.2131,4.301,,,,,,4.6,13.7,0,87.71,73.43,,,,,,,,,,,,,
08/25/20,14:55:00,0.6,624,47.80,66.59,29.529,0.000,0.2139,4.301,,,,,,7.1,15.8,0,88.90,73.47,,,,,,,,,,,,,
08/25/20,15:00:00,0.6,611,47.60,66.30,29.529,0.000,0.2134,4.301,,,,,,6.2,14.5,0,88.72,73.47,,,,,,,,,,,,,
08/25/20,15:05:00,0.6,612,47.30,64.74,29.529,0.000,0.2143,4.299,,,,,,10.8,18.3,0,87.21,73.52,,,,,,,,,,,,,
08/25/20,15:10:00,1.2,606,45.70,66.04,29.517,0.000,0.2117,4.308,,,,,,4.6,10.4,0,89.73,73.52,,,,,,,,,,,,,
08/25/20,15:15:00,0.6,591,46.60,64.89,29.523,0.000,0.2139,4.307,,,,,,9.5,22.4,0,87.85,73.56,,,,,,,,,,,,,
08/25/20,15:20:00,0.0,599,45.70,64.58,29.520,0.000,0.2139,4.304,,,,,,8.3,17.8,0,88.12,73.56,,,,,,,,,,,,,
08/25/20,15:25:00,0.6,607,46.30,65.50,29.514,0.000,0.2131,4.301,,,,,,6.6,14.5,0,88.72,73.56,,,,,,,,,,,,,
08/25/20,15:30:00,0.6,602,47.40,66.22,29.514,0.000,0.2148,4.308,,,,,,7.1,15.8,0,88.76,73.56,,,,,,,,,,,,,
08/25/20,15:35:00,0.0,583,45.70,65.41,29.511,0.000,0.2109,4.305,,,,,,7.9,18.7,0,89.04,73.60,,,,,,,,,,,,,
08/25/20,15:40:00,0.0,542,46.40,65.64,29.505,0.000,0.2148,4.317,,,,,,9.1,18.3,0,88.81,73.65,,,,,,,,,,,,,
08/25/20,15:45:00,0.6,512,46.50,65.75,29.514,0.000,0.2117,4.308,,,,,,7.9,15.4,0,88.86,73.65,,,,,,,,,,,,,
08/25/20,15:50:00,0.0,532,47.10,65.78,29.514,0.000,0.2139,4.305,,,,,,7.9,16.6,0,88.49,73.65,,,,,,,,,,,,,
08/25/20,15:55:00,0.0,542,46.80,65.27,29.514,0.000,0.2117,4.304,,,,,,7.9,17.0,0,88.12,73.69,,,,,,,,,,,,,
08/25/20,16:20:00,0.0,474,47.00,65.72,29.511,0.000,0.2117,4.302,,,,,,10.8,18.7,0,88.49,73.73,,,,,,,,,,,,,
08/25/20,16:25:00,0.0,417,46.50,65.33,29.508,0.000,0.2126,4.305,,,,,,7.9,15.4,0,88.40,73.77,,,,,,,,,,,,,
08/25/20,16:30:00,0.0,368,47.10,65.70,29.511,0.000,0.2112,4.302,,,,,,7.1,18.3,0,88.40,73.77,,,,,,,,,,,,,
08/25/20,16:35:00,0.0,199,47.90,64.44,29.511,0.000,0.2117,4.301,,,,,,9.5,17.4,0,86.48,73.82,,,,,,,,,,,,,
08/25/20,16:40:00,0.0,211,49.60,64.99,29.517,0.000,0.2109,4.299,,,,,,8.3,19.1,0,85.98,73.82,,,,,,,,,,,,,
08/25/20,16:45:00,0.0,214,50.00,65.18,29.517,0.000,0.2112,4.302,,,,,,7.5,14.5,0,85.94,73.82,,,,,,,,,,,,,
08/25/20,16:50:00,0.0,173,50.20,65.17,29.517,0.000,0.2109,4.299,,,,,,6.2,14.9,0,85.80,73.82,,,,,,,,,,,,,
08/25/20,16:55:00,0.0,154,50.80,65.22,29.517,0.000,0.2117,4.302,,,,,,5.4,13.3,0,85.49,73.82,,,,,,,,,,,,,
08/25/20,17:00:00,0.0,152,50.50,64.72,29.511,0.000,0.2126,4.299,,,,,,7.9,17.4,0,85.13,73.82,,,,,,,,,,,,,
08/25/20,17:05:00,0.0,156,50.50,64.67,29.511,0.000,0.2122,4.301,,,,,,7.1,16.6,0,85.08,73.86,,,,,,,,,,,,,
08/25/20,17:10:00,0.0,186,50.90,64.98,29.511,0.000,0.2109,4.302,,,,,,5.4,14.9,0,85.17,73.86,,,,,,,,,,,,,
08/25/20,17:15:00,0.0,212,50.20,64.67,29.511,0.000,0.2148,4.299,,,,,,9.1,21.2,0,85.26,73.86,,,,,,,,,,,,,
08/25/20,17:20:00,0.0,193,50.80,65.18,29.511,0.000,0.2143,4.296,,,,,,5.4,10.8,0,85.44,73.86,,,,,,,,,,,,,
08/25/20,17:25:00,0.0,219,51.30,65.33,29.511,0.000,0.2139,4.304,,,,,,4.6,10.0,0,85.31,73.86,,,,,,,,,,,,,
08/25/20,17:30:00,0.0,354,51.30,65.38,29.508,0.000,0.2131,4.301,,,,,,7.1,13.3,0,85.35,73.86,,,,,,,,,,,,,
08/25/20,17:35:00,0.0,361,50.70,65.74,29.502,0.000,0.2112,4.299,,,,,,9.5,17.0,0,86.12,73.90,,,,,,,,,,,,,
08/25/20,17:40:00,0.0,308,50.20,65.91,29.505,0.000,0.2112,4.302,,,,,,6.6,12.9,0,86.62,73.90,,,,,,,,,,,,,
08/25/20,17:45:00,0.0,261,50.10,65.40,29.505,0.000,0.2112,4.301,,,,,,8.3,17.4,0,86.12,73.90,,,,,,,,,,,,,
08/25/20,17:50:00,0.0,232,49.20,64.55,29.505,0.000,0.2104,4.301,,,,,,11.2,20.3,0,85.76,73.86,,,,,,,,,,,,,
08/25/20,17:55:00,0.0,216,49.10,64.41,29.511,0.000,0.2109,4.301,,,,,,9.1,17.0,0,85.67,73.90,,,,,,,,,,,,,
08/25/20,18:00:00,0.0,217,49.60,64.16,29.514,0.000,0.2122,4.299,,,,,,7.9,27.0,0,85.08,73.86,,,,,,,,,,,,,
08/25/20,18:05:00,0.0,224,49.20,64.13,29.514,0.000,0.2112,4.301,,,,,,9.5,20.8,0,85.31,73.90,,,,,,,,,,,,,
08/25/20,18:10:00,0.0,202,49.10,64.08,29.514,0.000,0.2126,4.302,,,,,,7.1,14.5,0,85.31,73.90,,,,,,,,,,,,,
08/25/20,18:15:00,0.0,161,49.40,63.76,29.511,0.000,0.2112,4.299,,,,,,7.5,17.4,0,84.77,73.86,,,,,,,,,,,,,
08/25/20,18:20:00,0.0,142,49.90,63.71,29.514,0.000,0.2117,4.290,,,,,,7.5,22.0,0,84.41,73.86,,,,,,,,,,,,,
08/25/20,18:25:00,0.0,151,50.20,63.76,29.517,0.000,0.2109,4.301,,,,,,0.4,5.8,0,84.27,73.86,,,,,,,,,,,,,
08/25/20,18:30:00,0.0,138,50.70,63.59,29.520,0.000,0.2095,4.301,,,,,,1.2,11.6,0,83.78,73.86,,,,,,,,,,,,,
08/25/20,18:35:00,0.0,41,51.20,63.63,29.523,0.000,0.2100,4.299,,,,,,0.4,2.9,0,83.51,73.86,,,,,,,,,,,,,
08/25/20,18:40:00,0.0,67,52.00,63.62,29.529,0.000,0.2100,4.301,,,,,,0.8,6.6,0,83.02,73.82,,,,,,,,,,,,,
08/25/20,18:45:00,0.0,29,52.30,63.66,29.531,0.000,0.2104,4.301,,,,,,0.4,3.7,0,82.89,73.82,,,,,,,,,,,,,
08/25/20,18:50:00,0.0,13,53.00,63.34,29.543,0.000,0.2104,4.299,,,,,,0.4,5.4,0,82.13,73.82,,,,,,,,,,,,,
08/25/20,18:55:00,0.0,12,55.30,62.01,29.549,0.000,0.2112,4.298,,,,,,1.2,12.5,0,79.39,73.77,,,,,,,,,,,,,
08/25/20,19:00:00,0.0,7,57.10,62.02,29.546,0.000,0.2087,4.299,,,,,,2.1,10.4,0,78.43,73.77,,,,,,,,,,,,,
08/25/20,19:05:00,0.0,6,57.90,61.93,29.549,0.000,0.2078,4.296,,,,,,2.1,12.5,0,77.90,73.77,,,,,,,,,,,,,
08/25/20,19:10:00,0.0,7,58.80,62.12,29.552,0.000,0.2092,4.296,,,,,,0.4,5.0,0,77.64,73.73,,,,,,,,,,,,,
08/25/20,19:15:00,0.0,9,59.50,62.13,29.549,0.000,0.2073,4.296,,,,,,1.2,7.5,0,77.29,73.73,,,,,,,,,,,,,
08/25/20,19:20:00,0.0,4,60.40,62.35,29.555,0.000,0.2087,4.280,,,,,,0.8,7.1,0,77.07,73.69,,,,,,,,,,,,,
08/25/20,19:25:00,0.0,4,61.00,62.59,29.558,0.000,0.2100,4.289,,,,,,0.0,2.1,0,77.03,73.65,,,,,,,,,,,,,
08/25/20,19:30:00,0.0,3,61.40,62.53,29.561,0.000,0.2064,4.290,,,,,,0.4,7.5,0,76.77,73.65,,,,,,,,,,,,,
08/25/20,19:35:00,0.0,2,61.90,62.59,29.567,0.000,0.2092,4.290,,,,,,0.4,5.0,0,76.59,73.60,,,,,,,,,,,,,
08/25/20,19:40:00,0.0,1,61.80,62.47,29.570,0.000,0.2095,4.289,,,,,,0.4,2.9,0,76.51,73.56,,,,,,,,,,,,,
08/25/20,19:45:00,0.0,1,61.70,62.34,29.567,0.000,0.2073,4.289,,,,,,0.8,7.9,0,76.42,73.56,,,,,,,,,,,,,
08/25/20,19:50:00,0.0,1,61.30,62.03,29.567,0.000,0.2073,4.289,,,,,,0.4,7.1,0,76.29,73.52,,,,,,,,,,,,,
08/25/20,19:55:00,0.0,1,61.30,61.83,29.573,0.000,0.2064,4.289,,,,,,0.0,0.8,0,76.07,73.47,,,,,,,,,,,,,
08/25/20,20:00:00,0.0,1,60.80,61.59,29.576,0.000,0.2078,4.287,,,,,,0.0,0.8,0,76.07,73.47,,,,,,,,,,,,,
08/25/20,20:05:00,0.0,1,60.80,61.43,29.582,0.000,0.2083,4.289,,,,,,0.4,4.6,0,75.90,73.43,,,,,,,,,,,,,
08/25/20,20:10:00,0.0,1,60.50,61.41,29.582,0.000,0.2078,4.287,,,,,,0.0,0.4,0,76.03,73.39,,,,,,,,,,,,,
08/25/20,20:15:00,0.0,1,60.30,61.20,29.582,0.000,0.2078,4.289,,,,,,0.0,3.3,0,75.90,73.34,,,,,,,,,,,,,
08/25/20,20:20:00,0.0,1,60.30,61.20,29.582,0.000,0.2087,4.275,,,,,,0.0,0.4,0,75.90,73.30,,,,,,,,,,,,,
08/25/20,20:25:00,0.0,1,60.40,60.92,29.585,0.000,0.2087,4.283,,,,,,0.0,0.4,0,75.55,73.30,,,,,,,,,,,,,
08/25/20,20:30:00,0.0,1,60.50,61.09,29.588,0.000,0.2095,4.284,,,,,,0.0,0.4,0,75.68,73.26,,,,,,,,,,,,,
08/25/20,20:35:00,0.0,1,60.70,61.02,29.588,0.000,0.2092,4.284,,,,,,0.0,0.4,0,75.51,73.21,,,,,,,,,,,,,
08/25/20,20:40:00,0.0,1,61.20,61.08,29.593,0.000,0.2073,4.284,,,,,,0.0,0.4,0,75.33,73.21,,,,,,,,,,,,,
08/25/20,20:45:00,0.0,1,61.30,61.29,29.593,0.000,0.2078,4.284,,,,,,0.0,0.4,0,75.51,73.17,,,,,,,,,,,,,
08/25/20,20:50:00,0.0,1,61.00,61.20,29.593,0.000,0.2083,4.283,,,,,,0.0,0.8,0,75.55,73.13,,,,,,,,,,,,,
08/25/20,20:55:00,0.0,1,61.40,61.09,29.596,0.000,0.2087,4.283,,,,,,0.0,0.4,0,75.25,73.08,,,,,,,,,,,,,
08/25/20,21:00:00,0.0,1,61.50,61.02,29.599,0.000,0.2087,4.283,,,,,,0.0,0.4,0,75.12,73.08,,,,,,,,,,,,,
08/25/20,21:05:00,0.0,1,61.30,61.05,29.599,0.000,0.2092,4.283,,,,,,0.0,0.8,0,75.25,73.04,,,,,,,,,,,,,
08/25/20,21:10:00,0.0,1,61.90,60.83,29.599,0.000,0.2092,4.283,,,,,,0.0,0.4,0,74.73,73.00,,,,,,,,,,,,,
08/25/20,21:15:00,0.0,1,62.70,60.87,29.605,0.000,0.2087,4.283,,,,,,0.0,0.4,0,74.38,72.95,,,,,,,,,,,,,
08/25/20,21:20:00,0.0,1,62.70,60.95,29.611,0.000,0.2078,4.271,,,,,,0.0,0.4,0,74.47,72.95,,,,,,,,,,,,,
08/25/20,21:25:00,0.0,1,62.60,61.03,29.614,0.000,0.2092,4.280,,,,,,0.0,0.4,0,74.60,72.91,,,,,,,,,,,,,
08/25/20,21:30:00,0.0,1,62.70,61.36,29.617,0.000,0.2087,4.280,,,,,,0.8,7.5,0,74.90,72.87,,,,,,,,,,,,,
08/25/20,21:35:00,0.6,1,62.40,61.39,29.620,0.000,0.2083,4.281,,,,,,2.1,9.5,0,75.07,72.87,,,,,,,,,,,,,
08/25/20,21:40:00,0.0,1,62.20,61.30,29.623,0.000,0.2073,4.280,,,,,,2.9,11.6,0,75.07,72.83,,,,,,,,,,,,,
08/25/20,21:45:00,0.0,1,62.10,61.05,29.626,0.000,0.2078,4.281,,,,,,1.2,6.6,0,74.86,72.78,,,,,,,,,,,,,
08/25/20,21:50:00,0.0,1,61.10,60.55,29.629,0.000,0.2087,4.281,,,,,,2.9,10.4,0,74.81,72.78,,,,,,,,,,,,,
08/25/20,21:55:00,0.0,1,61.20,60.19,29.632,0.000,0.2073,4.280,,,,,,0.8,7.5,0,74.38,72.74,,,,,,,,,,,,,
08/25/20,22:00:00,0.0,1,61.80,60.18,29.632,0.000,0.2083,4.280,,,,,,0.8,7.1,0,74.08,72.70,,,,,,,,,,,,,
08/25/20,22:05:00,0.0,1,61.80,60.01,29.635,0.000,0.2038,4.280,,,,,,1.2,11.6,0,73.90,72.65,,,,,,,,,,,,,
08/25/20,22:10:00,0.0,1,61.50,59.55,29.632,0.000,0.2064,4.280,,,,,,2.9,12.5,0,73.56,72.61,,,,,,,,,,,,,
08/25/20,22:15:00,0.0,1,60.90,59.11,29.638,0.000,0.2078,4.280,,,,,,6.2,14.1,0,73.39,72.61,,,,,,,,,,,,,
08/25/20,22:20:00,0.0,1,60.70,58.82,29.641,0.000,0.2070,4.269,,,,,,4.6,15.8,0,73.17,72.57,,,,,,,,,,,,,
08/25/20,22:25:00,0.0,1,60.40,58.44,29.644,0.000,0.2061,4.278,,,,,,5.4,14.5,0,72.91,72.52,,,,,,,,,,,,,
08/25/20,22:30:00,0.0,1,60.60,58.16,29.644,0.000,0.2026,4.278,,,,,,5.0,15.4,0,72.52,72.48,,,,,,,,,,,,,
08/25/20,22:35:00,0.0,1,60.80,58.13,29.647,0.000,0.2061,4.278,,,,,,6.2,12.5,0,72.39,72.44,,,,,,,,,,,,,
08/25/20,22:40:00,0.0,1,61.10,57.82,29.647,0.000,0.2083,4.278,,,,,,1.2,11.2,0,71.92,72.39,,,,,,,,,,,,,
08/25/20,22:45:00,0.0,1,60.30,57.70,29.650,0.000,0.2073,4.280,,,,,,2.5,14.5,0,72.18,72.35,,,,,,,,,,,,,
08/25/20,22:50:00,0.0,1,59.50,57.05,29.653,0.000,0.2026,4.278,,,,,,2.9,18.7,0,71.88,72.35,,,,,,,,,,,,,
08/25/20,22:55:00,0.0,1,58.80,56.52,29.655,0.000,0.2064,4.278,,,,,,5.4,17.4,0,71.66,72.26,,,,,,,,,,,,,
08/25/20,23:00:00,0.0,1,58.60,56.18,29.655,0.000,0.2061,4.278,,,,,,5.8,16.2,0,71.40,72.26,,,,,,,,,,,,,
08/25/20,23:05:00,0.0,1,58.80,55.91,29.655,0.000,0.2092,4.278,,,,,,3.3,14.1,0,71.02,72.22,,,,,,,,,,,,,
08/25/20,23:10:00,0.0,1,58.40,55.60,29.658,0.000,0.2056,4.278,,,,,,5.4,13.7,0,70.89,72.18,,,,,,,,,,,,,
08/25/20,23:15:00,0.0,1,58.50,55.61,29.658,0.000,0.2109,4.278,,,,,,7.1,15.8,0,70.84,72.14,,,,,,,,,,,,,
08/25/20,23:20:00,0.0,1,58.70,55.50,29.658,0.000,0.2043,4.266,,,,,,7.9,14.9,0,70.63,72.09,,,,,,,,,,,,,
08/25/20,23:25:00,0.0,1,59.30,55.42,29.658,0.000,0.2061,4.275,,,,,,5.8,15.4,0,70.24,72.05,,,,,,,,,,,,,
08/25/20,23:30:00,0.0,1,59.90,55.53,29.664,0.000,0.2100,4.277,,,,,,5.0,12.0,0,70.07,72.01,,,,,,,,,,,,,
08/25/20,23:35:00,0.0,1,60.10,55.51,29.664,0.000,0.2064,4.277,,,,,,5.8,13.3,0,69.94,71.96,,,,,,,,,,,,,
08/25/20,23:40:00,0.0,1,60.30,55.56,29.667,0.000,0.2064,4.277,,,,,,5.4,11.6,0,69.90,71.92,,,,,,,,,,,,,
08/25/20,23:45:00,0.0,1,60.30,55.36,29.667,0.000,0.2038,4.277,,,,,,6.2,12.9,0,69.69,71.88,,,,,,,,,,,,,
08/25/20,23:50:00,0.0,1,60.50,55.28,29.670,0.000,0.2095,4.277,,,,,,5.8,13.3,0,69.51,71.83,,,,,,,,,,,,,
08/25/20,23:55:00,0.0,1,60.60,55.29,29.670,0.000,0.2095,4.277,,,,,,5.8,10.8,0,69.47,71.79,,,,,,,,,,,,,
08/26/20,00:00:00,0.0,1,61.20,55.20,29.670,0.000,0.2092,4.277,,,,,,3.3,10.8,0,69.08,71.75,,,,,,,,,,,,,
08/26/20,00:05:00,0.0,1,61.10,55.15,29.670,0.000,0.2078,4.277,,,,,,5.8,10.0,0,69.08,71.71,,,,,,,,,,,,,
08/26/20,00:10:00,0.0,1,60.60,54.81,29.670,0.000,0.2078,4.277,,,,,,6.2,12.9,0,68.96,71.66,,,,,,,,,,,,,
08/26/20,00:15:00,0.0,1,60.80,54.61,29.670,0.000,0.2064,4.277,,,,,,3.7,7.1,0,68.66,71.62,,,,,,,,,,,,,
08/26/20,00:20:00,0.0,1,61.30,54.52,29.670,0.000,0.2061,4.265,,,,,,4.6,9.5,0,68.31,71.58,,,,,,,,,,,,,
08/26/20,00:25:00,0.0,1,61.50,54.69,29.670,0.000,0.2092,4.274,,,,,,4.2,12.9,0,68.40,71.53,,,,,,,,,,,,,
08/26/20,00:30:00,0.0,1,61.70,54.49,29.673,0.000,0.2078,4.275,,,,,,4.2,10.8,0,68.10,71.49,,,,,,,,,,,,,
08/26/20,00:35:00,0.0,1,62.30,54.68,29.676,0.000,0.2064,4.275,,,,,,4.2,9.1,0,68.01,71.45,,,,,,,,,,,,,
08/26/20,00:40:00,0.0,1,62.80,54.69,29.685,0.000,0.2064,4.277,,,,,,3.7,8.3,0,67.80,71.40,,,,,,,,,,,,,
08/26/20,00:45:00,0.0,1,62.20,54.63,29.682,0.000,0.2047,4.277,,,,,,6.6,16.6,0,68.01,71.36,,,,,,,,,,,,,
08/26/20,00:50:00,0.0,1,61.60,54.33,29.685,0.000,0.2064,4.277,,,,,,6.6,12.0,0,67.97,71.32,,,,,,,,,,,,,
08/26/20,00:55:00,0.0,1,61.70,54.17,29.685,0.000,0.2056,4.277,,,,,,5.4,10.8,0,67.76,71.27,,,,,,,,,,,,,
08/26/20,01:00:00,0.0,1,62.10,54.10,29.691,0.000,0.2064,4.277,,,,,,6.2,12.5,0,67.50,71.23,,,,,,,,,,,,,
08/26/20,01:05:00,0.0,1,62.30,54.07,29.688,0.000,0.2061,4.277,,,,,,5.4,11.6,0,67.37,71.23,,,,,,,,,,,,,
08/26/20,01:10:00,0.0,1,62.20,53.86,29.691,0.000,0.2056,4.277,,,,,,5.8,12.0,0,67.20,71.19,,,,,,,,,,,,,
08/26/20,01:15:00,0.0,1,62.10,53.70,29.691,0.000,0.2061,4.277,,,,,,4.6,12.5,0,67.07,71.15,,,,,,,,,,,,,
08/26/20,01:20:00,0.0,1,62.40,53.59,29.691,0.000,0.2061,4.263,,,,,,4.2,7.9,0,66.81,71.10,,,,,,,,,,,,,
08/26/20,01:25:00,0.0,1,63.20,53.57,29.688,0.000,0.2078,4.272,,,,,,3.3,8.3,0,66.43,71.06,,,,,,,,,,,,,
08/26/20,01:30:00,0.0,1,63.70,53.62,29.691,0.000,0.2061,4.274,,,,,,3.3,8.3,0,66.26,71.02,,,,,,,,,,,,,
08/26/20,01:35:00,0.0,1,64.50,53.52,29.688,0.000,0.2061,4.274,,,,,,2.5,6.6,0,65.79,70.97,,,,,,,,,,,,,
08/26/20,01:40:00,0.0,1,65.20,53.53,29.691,0.000,0.2064,4.275,,,,,,1.7,6.6,0,65.49,70.93,,,,,,,,,,,,,
